VariableName;VariableType;IsRetain;Register;DefaultValue;Comment;ParameterName;MinValue;MaxValue;Visibility;ParameterPath;DisplayFormat;EditableByNetwork;ShouldArchive;MetaType;CatalogPath
Имя переменной;Тип переменной;Энергонезависимость;Адрес регистра;Значение по умолчанию;Комментарий;Имя параметра;Минимальное значение;Максимальное значение;Видимость;Путь к параметру;Формат отображения данных;Редактирование по сети;Архивировать значение;Метатип;Путь в каталоге
net_SetRoom1_1;Float;Yes;16410;20;;nameRoom1;;;Yes;Logic;Decimal;Yes;No;Network;
net_SetRoom1_2;Float;Yes;16412;21;;setRoom2;;;Yes;Logic;Decimal;Yes;No;Network;
net_SetRoom1_3;Float;Yes;16414;22;;setRoom3;;;Yes;Logic;Decimal;Yes;No;Network;
net_SetRoom2;Float;Yes;16416;23;;setRoom4;;;Yes;Logic;Decimal;Yes;No;Network;
net_userSeason;Long;No;16402;0;;userSeason;;;Yes;Logic;Decimal;Yes;No;Network;
net_K2_status;Long;No;16389;0;;K2_status;;;Yes;Logic;Decimal;Yes;No;Network;
net_K2mode;Long;No;16390;0;;K2_mode;;;Yes;Logic;Decimal;Yes;No;Network;
net_K2fanSpeed;Long;No;16391;0;;K2_fanSpeed;;;Yes;Logic;Decimal;Yes;No;Network;
net_K2SetTemp;Long;No;16392;0;;K2_tempSet;;;Yes;Logic;Decimal;Yes;No;Network;
net_K1status;Long;No;16396;0;;Variable;;;Yes;Logic;Decimal;Yes;No;Network;
net_K1_mode;Long;No;16398;0;;K1_modeNet;;;Yes;Logic;Decimal;Yes;No;Network;
net_K1_fanSpeed;Long;No;16399;0;;K1_modeNet;;;Yes;Logic;Decimal;Yes;No;Network;
net_K1_SetTemp;Long;No;16400;0;;K1_tempSetNet;;;Yes;Logic;Decimal;Yes;No;Network;
net_K1_TempRoom;Long;No;16403;0;;K1_tempRoomNet;;;Yes;Logic;Decimal;Yes;No;Network;
setRooms_NetUpdata;Long;No;16384;0;;setRooms_NetUpdata;;;Yes;Logic;Decimal;Yes;No;Network;
net_K2_TempRoom;Long;No;16394;0;;K2_tempRoomNet;;;Yes;Logic;Decimal;Yes;No;Network;
net_K1Connect;Long;No;16385;0;;net_K1Connect;;;Yes;Logic;Decimal;Yes;No;Network;
net_K2Connect;Long;No;16386;0;;net_K2Connect;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFConnect;Long;No;16387;0;;net_KFConnect;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFStatus;Long;No;16388;0;;net_KFStatus;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFMode;Long;No;16393;0;;net_KFMode;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFfanSpeed;Long;No;16395;0;;net_KFfanSpeed;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFTempRoom;Long;No;16397;0;;net_KFTempRoom;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFTempSupply;Long;No;16401;0;;net_KFTempSupply;;;Yes;Logic;Decimal;Yes;No;Network;
net_KFTempOut;Long;No;16404;0;;net_KFTempOut;;;Yes;Logic;Decimal;Yes;No;Network;
net_KF_setTempSupply;Long;No;16405;0;;net_KF_setTempSupply;;;Yes;Logic;Decimal;Yes;No;Network;
net_KF_setTempRoom;Long;No;16406;0;;net_KF_setTempRoom;;;Yes;Logic;Decimal;Yes;No;Network;
