VariableName;VariableType;IsRetain;DefaultValue;Comment;MetaType;CatalogPath
Имя переменной;Тип переменной;Энергонезависимость;Значение по умолчанию;Комментарий;Метатип;Путь в каталоге
Tout;Float;No;0;;Ram;
Troom_1-1;Float;No;0;;Ram;
Troom_1-2;Float;No;0;;Ram;
Troom_1-3;Float;No;0;;Ram;
userSeasonLocal;Boolean;Yes;0;;Ram;
season;Boolean;No;0;;Ram;
coldPermit;Boolean;No;0;;Ram;
heatPermit;Boolean;No;0;;Ram;
curentTime;Long;No;0;;Ram;
connect_K1_Intesis;Boolean;No;0;;Ram;
update_K1Setpoint;Boolean;No;0;;Ram;
update_K1Status;Boolean;No;0;;Ram;
update_K1Mode;Boolean;No;0;;Ram;
update_K1Speed;Boolean;No;0;;Ram;
setTempWinter;Long;Yes;8;;Ram;
setTempSummer;Long;Yes;15;;Ram;
TRoom_1_calc;Float;No;0;;Ram;
K1_setTemp;Long;No;0;;Ram;
update_K2Status;Boolean;No;0;;Ram;
update_K2Mode;Boolean;No;0;;Ram;
update_K2Speed;Boolean;No;0;;Ram;
update_K2Setpoint;Boolean;No;0;;Ram;
connect_K2_Intesis;Boolean;No;0;;Ram;
airRegRoom1;Float;Yes;0;;Ram;
pid_Kp;Float;Yes;0,005;;Ram;
pid_Ti;Float;Yes;0,4;;Ram;
pid_Td;Float;Yes;1;;Ram;
pidR1_limMin;Float;Yes;20;;Ram;
pidR1_limMax;Float;Yes;100;;Ram;
TRoom_K1;Float;No;0;;Ram;
airRegRoom2;Float;Yes;0;;Ram;
airRegRoom3;Float;Yes;0;;Ram;
_test;Float;No;0;;Ram;
K1_fanSpeed;Long;No;0;;Ram;
K1_status;Long;No;0;;Ram;
K1_mod;Long;No;0;;Ram;
K1_TempRoom;Long;No;0;;Ram;
update_SetLocal;Boolean;No;0;;Ram;
screenTime;Long;No;0;;Ram;
Out_1-1;Float;No;0;;Ram;
Out_1-2;Float;No;0;;Ram;
Out_1-3;Float;No;0;;Ram;
outUserSet_1-1;Boolean;Yes;0;;Ram;
outUserSet_1-2;Boolean;Yes;0;;Ram;
outUserSet_1-3;Boolean;Yes;0;;Ram;
outUserValue_1-1;Float;Yes;0;;Ram;
outUserValue_1-2;Float;Yes;0;;Ram;
outUserValue_1-3;Float;Yes;0;;Ram;
setK1_status;Boolean;No;0;;Ram;
setK1_mod;Boolean;No;0;;Ram;
setK1_fanSpeed;Boolean;No;0;;Ram;
setK1_setTemp;Boolean;No;0;;Ram;
K1_mod_user;Long;No;0;;Ram;
K1_status_user;Long;No;0;;Ram;
K1_fanSpeed_user;Long;No;0;;Ram;
K1_setRooms_user;Float;No;0;;Ram;
setRoom_1-1;Float;No;18,5;;Ram;
setRoom_1-2;Float;No;18,5;;Ram;
