Adress;int16;uint16;hex;result
0;0;0;0x0000;Response ok
1;0;0;0x0000;Response ok
2;1;1;0x0001;Response ok
3;1;1;0x0001;Response ok
4;18;18;0x0012;Response ok
5;25;25;0x0019;Response ok
6;0;0;0x0000;Response ok
7;0;0;0x0000;Response ok
8;0;0;0x0000;Response ok
9;4449;4449;0x1161;Response ok
10;0;0;0x0000;Response ok
11;0;0;0x0000;Response ok
12;0;0;0x0000;Response ok
13;30;30;0x001E;Response ok
14;19200;19200;0x4B00;Response ok
15;1;1;0x0001;Response ok
16;1;1;0x0001;Response ok
17;1;1;0x0001;Response ok
18;0;0;0x0000;Response ok
19;1;1;0x0001;Response ok
20;1;1;0x0001;Response ok
21;4;4;0x0004;Response ok
22;-32768;32768;0x8000;Response ok
23;18;18;0x0012;Response ok
24;30;30;0x001E;Response ok
25;18;18;0x0012;Response ok
26;0;0;0x0000;Response ok
27;0;0;0x0000;Response ok
28;0;0;0x0000;Response ok
29;32767;32767;0x7FFF;Response ok
30;32767;32767;0x7FFF;Response ok
31;0;0;0x0000;Response ok
32;0;0;0x0000;Response ok
33;0;0;0x0000;Response ok
34;0;0;0x0000;Response ok
35;0;0;0x0000;Response ok
36;0;0;0x0000;Response ok
37;0;0;0x0000;Response ok
38;0;0;0x0000;Response ok
39;0;0;0x0000;Response ok
40;0;0;0x0000;Response ok
41;0;0;0x0000;Response ok
42;0;0;0x0000;Response ok
43;0;0;0x0000;Response ok
44;0;0;0x0000;Response ok
45;0;0;0x0000;Response ok
46;3;3;0x0003;Response ok
47;0;0;0x0000;Response ok
48;3585;3585;0x0E01;Response ok
49;3840;3840;0x0F00;Response ok
50;9;9;0x0009;Response ok
51;0;0;0x0000;Response ok
52;0;0;0x0000;Response ok
53;0;0;0x0000;Response ok
54;0;0;0x0000;Response ok
55;0;0;0x0000;Response ok
56;0;0;0x0000;Response ok
57;0;0;0x0000;Response ok
58;0;0;0x0000;Response ok
59;0;0;0x0000;Response ok
60;0;0;0x0000;Response ok
61;0;0;0x0000;Response ok
62;0;0;0x0000;Response ok
63;0;0;0x0000;Response ok
64;0;0;0x0000;Response ok
65;-32768;32768;0x8000;Response ok
66;25;25;0x0019;Response ok
67;0;0;0x0000;Response ok
68;0;0;0x0000;Response ok
69;0;0;0x0000;Response ok
70;0;0;0x0000;Response ok
71;0;0;0x0000;Response ok
72;0;0;0x0000;Response ok
73;0;0;0x0000;Response ok
74;0;0;0x0000;Response ok
75;0;0;0x0000;Response ok
76;0;0;0x0000;Response ok
77;0;0;0x0000;Response ok
78;2000;2000;0x07D0;Response ok
79;1;1;0x0001;Response ok
80;1;1;0x0001;Response ok
81;0;0;0x0000;Response ok
82;0;0;0x0000;Response ok
83;0;0;0x0000;Response ok
84;0;0;0x0000;Response ok
85;0;0;0x0000;Response ok
86;0;0;0x0000;Response ok
87;0;0;0x0000;Response ok
88;0;0;0x0000;Response ok
89;0;0;0x0000;Response ok
90;0;0;0x0000;Response ok
91;0;0;0x0000;Response ok
92;0;0;0x0000;Response ok
93;0;0;0x0000;Response ok
94;0;0;0x0000;Response ok
95;0;0;0x0000;Response ok
96;0;0;0x0000;Response ok
97;0;0;0x0000;Response ok
98;0;0;0x0000;Response ok
99;0;0;0x0000;Response ok
100;0;0;0x0000;Response ok
